Código Dane del municipio [Ordenado por este campo] 	Nombre del departamento 	Nombre del municipio
05 - 001 	ANTIOQUIA 	MEDELLÍN
05 - 002 	ANTIOQUIA 	ABEJORRAL
05 - 004 	ANTIOQUIA 	ABRIAQUÍ
05 - 021 	ANTIOQUIA 	ALEJANDRÍA
05 - 030 	ANTIOQUIA 	AMAGÁ
05 - 031 	ANTIOQUIA 	AMALFI
05 - 034 	ANTIOQUIA 	ANDES
05 - 036 	ANTIOQUIA 	ANGELÓPOLIS
05 - 038 	ANTIOQUIA 	ANGOSTURA
05 - 040 	ANTIOQUIA 	ANORÍ
05 - 042 	ANTIOQUIA 	SANTA FÉ DE ANTIOQUIA
05 - 044 	ANTIOQUIA 	ANZÁ
05 - 045 	ANTIOQUIA 	APARTADÓ
05 - 051 	ANTIOQUIA 	ARBOLETES
05 - 055 	ANTIOQUIA 	ARGELIA
05 - 059 	ANTIOQUIA 	ARMENIA
05 - 079 	ANTIOQUIA 	BARBOSA
05 - 086 	ANTIOQUIA 	BELMIRA
05 - 088 	ANTIOQUIA 	BELLO
05 - 091 	ANTIOQUIA 	BETANIA
05 - 093 	ANTIOQUIA 	BETULIA
05 - 101 	ANTIOQUIA 	CIUDAD BOLÍVAR
05 - 107 	ANTIOQUIA 	BRICEÑO
05 - 113 	ANTIOQUIA 	BURITICÁ
05 - 120 	ANTIOQUIA 	CÁCERES
05 - 125 	ANTIOQUIA 	CAICEDO
05 - 129 	ANTIOQUIA 	CALDAS
05 - 134 	ANTIOQUIA 	CAMPAMENTO
05 - 138 	ANTIOQUIA 	CAÑASGORDAS
05 - 142 	ANTIOQUIA 	CARACOLÍ
05 - 145 	ANTIOQUIA 	CARAMANTA
05 - 147 	ANTIOQUIA 	CAREPA
05 - 148 	ANTIOQUIA 	EL CARMEN DE VIBORAL
05 - 150 	ANTIOQUIA 	CAROLINA
05 - 154 	ANTIOQUIA 	CAUCASIA
05 - 172 	ANTIOQUIA 	CHIGORODÓ
05 - 190 	ANTIOQUIA 	CISNEROS
05 - 197 	ANTIOQUIA 	COCORNÁ
05 - 206 	ANTIOQUIA 	CONCEPCIÓN
05 - 209 	ANTIOQUIA 	CONCORDIA
05 - 212 	ANTIOQUIA 	COPACABANA
05 - 234 	ANTIOQUIA 	DABEIBA
05 - 237 	ANTIOQUIA 	DONMATÍAS
05 - 240 	ANTIOQUIA 	EBÉJICO
05 - 250 	ANTIOQUIA 	EL BAGRE
05 - 264 	ANTIOQUIA 	ENTRERRÍOS
05 - 266 	ANTIOQUIA 	ENVIGADO
05 - 282 	ANTIOQUIA 	FREDONIA
05 - 284 	ANTIOQUIA 	FRONTINO
