Dirham DE EAU
Afgani afgano
Lek
Dram armenio
Kwanza angoleño
Peso argentino
Dollar australiano
Florín arubeño
Marco bosnioherzegovino
Dollar de Barbados
Taka
Lev
Franco burundés
Real brasileño
Pula
Dollar beliceño
Dollar canadiense
Franco suizo
Peso chileno
Unidad de Fomento
Renminbi
Peso colombiano
Unidad de valor real
Colón costarricense
Peso cubano
Escudo caboverdiano
Czech Koruna
Franco yibutiano
Corona danesa
Peso dominicano
Dinar argelino
Libra egipcia
Nakfa
Euro
Libra malvinense
Libra esterlina
Lari
Cedi
Libra gibraltareña
Dalasi
Franco guineano
Quetzal
Dollar guyanés
Dollar de Hong Kong
Lempira
Kuna
Gourde
Forinto húngaro
Rupia indonesia
Nuevo séquel
Rupia india
Dinar iraquí
Corona islandesa
Dollar jamaiquino
Dinar jordano
Yen
Chelín keniano
Riel camboyano
Dinar kuwaití
Tenge kazajo
Libra libanesa
Rupia de Sri Lanka
Dollar liberiano
Loti
Dinar libio
Dírham marroquí
Kyat birmano
Tugrik
Pataca
Rupia de Mauricio
Kwacha malauí
Peso mexicano
Ringgit malayo
Metical mozambiqueño
Dollar de Namibia
Naira
Córdoba oro
Corona noruega
Rupia nepalí
Dollar neozelandés
Rial omaní
Balboa
Kina
Peso filipino
Rupia pakistaní
Zloty
Guaraní
Riyal catarí
Dinar serbio
Rublo ruso
Franco ruandés
Riyal saudí
Dollar de Islas Salomón
Rupia de Seychelles
Libra sudanesa
Corona sueca
Dollar de Singapur
Leone
Chelín somalí
Baht
Pa’anga
Lira turca
Dollar de Trinidad y Tobago
Chelín ugandés
Dollar estadounidense
Peso uruguayo
Dong
Vatu
Tala
Franco CFA de África Central
Dollar del Caribe Oriental
Franco CFP
Rial yemení
Rand
Kwacha zambiano
Dollar zimbabuense
