Afganistan;93
Alaska;1907
Albania;355
Alemania;49
Andorra;376
Angola;244
Anguilla;1264
Antigua y Barbuda;1242
Antillas Holandesas;599
Arabia Saudi;966
Argelia;213
Argentina;54
Armenia;374
Aruba;297
Ascension;247
Australia;61
Austria;43
Azerbaijan;994
Bahamas;1809
Bahrein;973
Bangladesh;880
Barbados;1246
Belgica;32
Belize;501
Benin;229
Bermudas;1441
Bhutan;975
Bielorrusia;375
Bolivia;591
Bosnia Herzegovina;378
Botswana;267
Brasil;55
Brunei;673
Bulgaria;359
Burkina Faso;226
Burundi;257
Cabo Verde;238
Caimanes;1345
Camboya;855
Camerun;237
Canada;1
República Centroafrinaca;236
Chad;235
República Checa;420
Chile;56
China;86
Chipre;357
Colombia;57
Islas Comores;269
República Democrática del Congo;243
República del Congo;242
Islas Cook;682
Corea del Sur;850
Corea del Norte;82
Costa de Marfil;225
Costa Rica;506
Croacia;385
Cuba;53
Diego Garcia;246
Dinamarca;45
Dominica;1767
República Dominicana;1809
Ecuador;593
Egipto;20
Emiratos Arabes;971
Eritrea;291
Eslovaquia;421
Eslovenia;386
Estados Unidos;1
Estonia;372
Etiopia;251
Islas Feroe;298
Islas Fiyi;679
Filipinas;63
Finlandia;358
Francia;33
Gabon;241
Gambia;220
Georgia;995
Ghana;233
Gibraltar;9567
Granada;1493
Grecia;30
Groenlandia;299
Guadalupe;590
Guam;1671
Guatemala;502
Guayana Francesa;594
Guinea Bissau;245
Guinea Ecuat.;240
República de Guinea;224
Guyana;592
Haiti;509
Hawai;1808
Holanda;31
Honduras;504
Hong Kong;852
Hungria;36
India;91
Indonesia;62
Iran;98
Iraq;964
Irlanda;353
Islandia;354
Israel;972
Italia;39
Jamaica;1876
Japon;81
Jordania;962
Kazakstan;7
Kenia;254
Kirguizistan;996
Kiribati;686
Kuwait;965
Laos;856
Lesotho;266
Letonia;371
Libano;961
Liberia;231
Libia;218
Liechtenstein;41
Lituania;370
Luxemburgo;352
Macao;853
Macedonia;389
Malasia;60
Malawi;265
Maldivas;960
Malgache;261
Mali;223
Malta;356
Islas Malvinas;500
Islas Marianas;500
Marruecos;212
Islas Marshall;692
Martinica;596
Mauricio;230
Mauritania;222
Mayotte;262
Mexico;52
Micronesia;691
Moldavia;373
Monaco;377
Mongolia;976
Montenegro;382
Montserrat;1664
Mozambique;258
Myanmar;95
Namibia;264
Nauru;674
Nepal;977
Nicaragua;505
Niger;227
Nigeria;234
Niue;683
Noruega;47
Nueva Caledonia;687
Nueva Zelanda;64
Oman;968
Pakistan;92
Palaos;680
Palestina;970
Panama;507
Papua Nueva Guinea;675
Paraguay;595
Peru;51
Polinesia Francesa;689
Polonia;48
Portugal;351
Puerto Rico;1787
Qatar;974
Inglaterra;44
Islas Reunión;262
Ruanda;250
Rumania;40
Rusia;7
Salomon;677
El Salvador;503
Samoa Americana;1684
Samoa Occid.;685
San Cristobal y Nieves;1869
San Marino;378
San Pedro y Miquelon;508
San Vicente y las Granadinas;1784
Santa Elena;290
Santa Lucia;1758
Santo Tome y Principe;239
Senegal;221
Serbia;381
Seychelles;248
Sierra Leona;232
Singapur;65
Siria;963
Somalia;252
Sri Lanka;94
Suazilandia;268
Sudafrica;27
Sudan;249
Suecia;46
Suiza;41
Surinam;597
Tadjikistan;992
Tailandia;66
Taiwan;886
Tanzania;255
Timor Oriental;670
Togo;228
Tokelau;690
Islas Tonga;676
Trinidad y Tobago;1868
Tunez;216
Turkmenistan;993
Turks y Caicos;1649
Turquia;90
Tuvalu;688
Ucrania;380
Uganda;256
Uruguay;598
Uzbekistan;998
Vanuatu;678
Venezuela;58
Vietnam;84
Islas Vírgenes Estados Unidos;1340
Islas Vírgenes Británicas;1284
Wallis y Futuna;681
Yemen;967
Yibuti;253
Zambia;260
Zimbabwe;263
